timestamp,src_ip,dst_ip,protocol,length,inter_arrival
1762776926.003667,192.168.1.16,142.250.201.22,data,316,
1762776926.113292,192.168.1.16,142.250.201.22,data,1292,0.10962486267089844
1762776926.189433,142.250.201.22,192.168.1.16,data,69,
1762776926.189433,142.250.201.22,192.168.1.16,data,69,0.0
1762776926.189433,142.250.201.22,192.168.1.16,data,78,0.0
1762776926.189433,142.250.201.22,192.168.1.16,data,138,0.0
1762776926.189433,142.250.201.22,192.168.1.16,data,65,0.0
1762776926.189433,142.250.201.22,192.168.1.16,data,86,0.0
1762776926.189433,142.250.201.22,192.168.1.16,data,205,0.0
1762776926.189433,142.250.201.22,192.168.1.16,data,73,0.0
1762776926.191479,192.168.1.16,142.250.201.22,data,314,0.0781869888305664
1762776926.19865,192.168.1.16,142.251.37.163,data,619,0.007170915603637695
1762776926.207922,192.168.1.16,142.250.201.22,data,93,0.009272098541259766
1762776926.304464,192.168.1.16,20.189.173.6,tls,172,0.0965421199798584
1762776926.304584,192.168.1.16,20.189.173.6,tls,93,0.00011992454528808594
1762776926.304633,192.168.1.16,20.189.173.6,tls,1466,4.887580871582031e-05
1762776926.304633,192.168.1.16,20.189.173.6,tls,863,0.0
1762776926.44262,192.168.1.16,142.250.201.22,data,1292,0.1379871368408203
1762776926.538411,142.250.201.22,192.168.1.16,data,73,0.34897780418395996
1762776926.538411,142.251.37.163,192.168.1.16,data,73,
1762776926.538411,142.251.37.163,192.168.1.16,data,107,0.0
1762776926.538411,142.251.37.163,192.168.1.16,data,63,0.0
1762776926.538411,142.250.201.22,192.168.1.16,data,68,0.0
1762776926.538411,51.79.9.235,192.168.1.16,tcp,91,
1762776926.538411,20.189.173.6,192.168.1.16,tcp,54,
1762776926.538411,20.189.173.6,192.168.1.16,tls,93,0.0
1762776926.538554,192.168.1.16,20.189.173.6,tcp,54,0.09593391418457031
1762776926.539559,192.168.1.16,20.44.10.122,tcp,66,0.001004934310913086
1762776926.55263,192.168.1.16,142.251.37.163,data,77,0.013071060180664062
1762776926.587513,192.168.1.16,51.79.9.235,tcp,54,0.03488302230834961
1762776926.58774,192.168.1.16,142.251.37.163,data,74,0.0002269744873046875
1762776926.611476,142.250.201.22,192.168.1.16,data,68,0.07306504249572754
1762776926.634732,20.189.173.6,192.168.1.16,tcp,54,0.09632110595703125
1762776926.647478,20.189.173.6,192.168.1.16,tcp,54,0.012746095657348633
1762776926.647809,142.251.37.163,192.168.1.16,data,66,0.10939812660217285
1762776926.727698,20.44.10.122,192.168.1.16,tcp,66,
1762776926.727844,192.168.1.16,20.44.10.122,tcp,54,0.14010405540466309
1762776926.72816,192.168.1.16,20.44.10.122,tls,571,0.0003159046173095703
1762776926.747725,192.168.1.16,142.250.201.22,data,1292,0.019565105438232422
1762776926.765971,20.189.173.6,192.168.1.16,tls,153,0.11849284172058105
1762776926.766955,192.168.1.16,20.189.173.6,tls,89,0.019229888916015625
1762776926.951567,192.168.1.16,104.18.32.47,tls,55,0.18461203575134277
1762776927.059068,192.168.1.16,142.250.201.22,data,71,0.10750102996826172
1762776927.343417,192.168.1.16,142.250.200.206,data,1285,0.2843489646911621
1762776927.343498,192.168.1.16,142.250.200.206,data,1292,8.106231689453125e-05
1762776927.343537,192.168.1.16,142.250.200.206,data,1292,3.910064697265625e-05
1762776927.34357,192.168.1.16,142.250.200.206,data,1238,3.2901763916015625e-05
1762776927.369873,192.168.1.16,20.189.173.6,tcp,89,0.02630305290222168
1762776927.442417,142.250.201.22,192.168.1.16,data,68,0.8309409618377686
